,mpg
134,23.0
145,22.0
63,28.0
293,38.0
285,27.0
224,19.2
252,29.8
111,26.0
20,10.0
46,13.0
156,28.0
228,23.9
273,31.6
27,16.0
144,22.0
259,25.8
37,30.0
97,31.0
191,36.1
135,23.0
118,15.0
160,19.0
264,32.3
214,29.5
238,26.4
76,16.0
212,16.2
225,31.9
255,35.0
237,37.2
282,34.0
44,23.0
272,32.9
189,32.8
152,18.0
158,20.0
101,16.0
54,13.0
181,26.0
18,21.0
281,27.0
250,30.0
126,13.0
171,17.5
71,13.0
227,25.4
245,46.6
205,30.9
288,31.0
215,21.5
154,17.5
159,13.0
33,19.0
83,12.0
249,36.4
60,18.0
167,36.0
280,28.0
110,32.0
21,11.0
29,14.0
146,24.0
16,24.0
56,15.0
75,18.0
109,26.0
175,16.0
201,18.1
161,16.5
4,17.0
96,11.0
166,30.0
61,26.0
67,14.0
137,33.0
198,18.1
262,39.1
279,20.2
40,27.0
268,34.7
13,27.0
107,29.0
220,17.0
3,16.0
157,26.5
125,20.0
24,28.0
30,12.0
77,18.0
291,36.0
210,17.0
19,10.0
254,23.7
241,29.8
266,37.7
80,26.0
51,11.0
2,18.0
235,41.5
104,14.0
179,29.0
86,18.0
10,14.0
199,19.2
58,13.0
41,26.0
14,26.0
155,32.0
50,17.0
292,34.0
233,26.8
123,16.0
200,17.7
62,22.0
187,43.1
226,34.1
130,24.0
209,20.3
260,23.5
43,25.0
114,31.0
138,28.0
294,32.0
218,20.2
149,24.5
112,24.0
247,40.8
98,26.0
217,22.3
93,15.0
216,19.8
162,13.0
36,28.0
178,16.0
113,26.0
0,18.0
94,24.0
275,25.4
95,20.0
296,32.0
261,30.0
240,34.3
69,15.0
49,14.0
48,15.0
85,21.0
297,36.0
141,17.5
207,23.8
23,27.0
246,27.9
148,29.0
143,14.5
78,18.0
180,24.5
100,25.0
204,27.2
131,25.0
267,34.1
298,27.0
196,20.6
6,14.0
68,13.0
203,27.5
84,20.0
170,17.5
121,14.0
140,27.0
256,32.4
274,30.7
142,15.5
257,27.2
91,24.0
82,12.0
283,31.0
11,24.0
119,16.0
102,16.0
35,23.0
57,13.0
169,33.5
231,31.8
65,28.0
1,15.0
120,15.0
269,34.4
186,21.5
42,24.0
105,14.0
132,24.0
79,23.0
17,26.0
263,39.0
232,37.3
38,31.0
133,19.0
53,12.0
258,26.6
128,23.0
28,17.0
183,30.5
163,13.0
151,20.0
244,32.2
202,30.0
31,13.0
32,18.0
127,29.0
185,30.5
278,26.6
271,32.4
147,22.5
276,24.2
177,15.5
99,32.0
197,20.8
243,37.0
115,19.0
265,37.0
72,13.0
25,25.0
165,31.5
287,36.0
174,18.5
289,38.0
39,35.0
193,19.4
88,26.0
70,12.0
87,19.0
242,31.3
277,22.4
211,21.6
9,15.0
195,20.5
251,44.6
192,19.9
117,15.0
47,14.0
172,20.5
